Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 29 2013,7:00 pm,Orlando Magic,87,Indiana Pacers,97,Box Score,,18165,
Tue Oct 29 2013,10:30 pm,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,18997,
Tue Oct 29 2013,8:00 pm,Chicago Bulls,95,Miami Heat,107,Box Score,,19964,
Wed Oct 30 2013,7:00 pm,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,20562,
Wed Oct 30 2013,8:30 pm,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,19834,
Wed Oct 30 2013,7:30 pm,Washington Wizards,102,Detroit Pistons,113,Box Score,,19258,
Wed Oct 30 2013,10:30 pm,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,19596,
Wed Oct 30 2013,8:00 pm,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,18083,
Wed Oct 30 2013,8:00 pm,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,17988,
Wed Oct 30 2013,8:00 pm,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,17803,
Wed Oct 30 2013,7:30 pm,Milwaukee Bucks,83,New York Knicks,90,Box Score,,19812,
Wed Oct 30 2013,7:00 pm,Miami Heat,110,Philadelphia 76ers,114,Box Score,,19523,
Wed Oct 30 2013,10:00 pm,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,17208,
Wed Oct 30 2013,10:00 pm,Denver Nuggets,88,Sacramento Kings,90,Box Score,,17317,
Wed Oct 30 2013,8:30 pm,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,18581,
Wed Oct 30 2013,7:00 pm,Boston Celtics,87,Toronto Raptors,93,Box Score,,20155,
Wed Oct 30 2013,9:00 pm,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,19911,
Thu Oct 31 2013,8:00 pm,New York Knicks,81,Chicago Bulls,82,Box Score,,22022,
Thu Oct 31 2013,10:30 pm,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,19060,
Fri Nov 1 2013,7:30 pm,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,18118,
Fri Nov 1 2013,7:30 pm,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,18624,
Fri Nov 1 2013,8:00 pm,Miami Heat,100,Brooklyn Nets,101,Box Score,,17732,
Fri Nov 1 2013,7:00 pm,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,,18017,
Fri Nov 1 2013,9:00 pm,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,19155,
Fri Nov 1 2013,8:00 pm,Dallas Mavericks,105,Houston Rockets,113,Box Score,,18142,
Fri Nov 1 2013,10:30 pm,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,18997,
Fri Nov 1 2013,8:00 pm,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,OT,18119,
Fri Nov 1 2013,8:00 pm,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,17433,
Fri Nov 1 2013,7:00 pm,New Orleans Pelicans,90,Orlando Magic,110,Box Score,,18846,
Fri Nov 1 2013,10:00 pm,Utah Jazz,84,Phoenix Suns,87,Box Score,,14662,
Fri Nov 1 2013,10:00 pm,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,,17317,
Fri Nov 1 2013,7:00 pm,Philadelphia 76ers,109,Washington Wizards,102,Box Score,,17160,
Sat Nov 2 2013,8:30 pm,Memphis Grizzlies,99,Dallas Mavericks,111,Box Score,,20262,
Sat Nov 2 2013,10:30 pm,Sacramento Kings,87,Golden State Warriors,98,Box Score,,19596,
Sat Nov 2 2013,7:00 pm,Cleveland Cavaliers,74,Indiana Pacers,89,Box Score,,16242,
Sat Nov 2 2013,8:30 pm,Toronto Raptors,97,Milwaukee Bucks,90,Box Score,,16046,
Sat Nov 2 2013,8:00 pm,Charlotte Bobcats,84,New Orleans Pelicans,105,Box Score,,15232,
Sat Nov 2 2013,7:30 pm,Chicago Bulls,104,Philadelphia 76ers,107,Box Score,,15782,
Sat Nov 2 2013,10:00 pm,San Antonio Spurs,105,Portland Trail Blazers,115,Box Score,,20028,
Sat Nov 2 2013,9:00 pm,Houston Rockets,104,Utah Jazz,93,Box Score,,19498,
Sun Nov 3 2013,6:00 pm,Boston Celtics,77,Detroit Pistons,87,Box Score,,14978,
Sun Nov 3 2013,9:30 pm,Atlanta Hawks,103,Los Angeles Lakers,105,Box Score,,18997,
Sun Nov 3 2013,6:00 pm,Washington Wizards,93,Miami Heat,103,Box Score,,19600,
Sun Nov 3 2013,7:30 pm,Minnesota Timberwolves,109,New York Knicks,100,Box Score,,19812,
Sun Nov 3 2013,7:00 pm,Phoenix Suns,96,Oklahoma City Thunder,103,Box Score,,18203,
Sun Nov 3 2013,6:00 pm,Brooklyn Nets,86,Orlando Magic,107,Box Score,,15297,
Mon Nov 4 2013,7:00 pm,Minnesota Timberwolves,92,Cleveland Cavaliers,93,Box Score,,17892,
Mon Nov 4 2013,10:30 pm,Houston Rockets,118,Los Angeles Clippers,137,Box Score,,19404,
Mon Nov 4 2013,8:00 pm,Boston Celtics,88,Memphis Grizzlies,95,Box Score,,15872,
Mon Nov 4 2013,7:00 pm,Golden State Warriors,110,Philadelphia 76ers,90,Box Score,,11089,
Tue Nov 5 2013,7:30 pm,Utah Jazz,88,Brooklyn Nets,104,Box Score,,17732,
Tue Nov 5 2013,8:30 pm,Los Angeles Lakers,104,Dallas Mavericks,123,Box Score,,19670,
Tue Nov 5 2013,9:00 pm,San Antonio Spurs,102,Denver Nuggets,94,Box Score,,15721,
Tue Nov 5 2013,7:30 pm,Indiana Pacers,99,Detroit Pistons,91,Box Score,,13401,
Tue Nov 5 2013,8:00 pm,Phoenix Suns,104,New Orleans Pelicans,98,Box Score,,13404,
Tue Nov 5 2013,7:30 pm,Charlotte Bobcats,102,New York Knicks,97,Box Score,,19812,
Tue Nov 5 2013,10:00 pm,Houston Rockets,116,Portland Trail Blazers,101,Box Score,,17491,
Tue Nov 5 2013,10:00 pm,Atlanta Hawks,105,Sacramento Kings,100,Box Score,,13506,
Tue Nov 5 2013,7:00 pm,Miami Heat,104,Toronto Raptors,95,Box Score,,18470,
Wed Nov 6 2013,7:30 pm,Utah Jazz,87,Boston Celtics,97,Box Score,,17130,
Wed Nov 6 2013,7:00 pm,Toronto Raptors,90,Charlotte Bobcats,92,Box Score,,11118,
Wed Nov 6 2013,7:00 pm,Chicago Bulls,80,Indiana Pacers,97,Box Score,,18165,
Wed Nov 6 2013,8:00 pm,New Orleans Pelicans,99,Memphis Grizzlies,84,Box Score,,15209,
Wed Nov 6 2013,8:00 pm,Cleveland Cavaliers,104,Milwaukee Bucks,109,Box Score,,14340,
Wed Nov 6 2013,8:00 pm,Golden State Warriors,106,Minnesota Timberwolves,93,Box Score,,15559,
Wed Nov 6 2013,9:30 pm,Dallas Mavericks,93,Oklahoma City Thunder,107,Box Score,,18203,
Wed Nov 6 2013,7:00 pm,Los Angeles Clippers,90,Orlando Magic,98,Box Score,,15807,
Wed Nov 6 2013,7:00 pm,Washington Wizards,116,Philadelphia 76ers,102,Box Score,,10117,
Wed Nov 6 2013,8:30 pm,Phoenix Suns,96,San Antonio Spurs,99,Box Score,,17870,
Thu Nov 7 2013,9:00 pm,Atlanta Hawks,107,Denver Nuggets,109,Box Score,,15404,
Thu Nov 7 2013,9:30 pm,Los Angeles Lakers,99,Houston Rockets,98,Box Score,,18133,
Thu Nov 7 2013,7:00 pm,Los Angeles Clippers,97,Miami Heat,102,Box Score,,19600,
Fri Nov 8 2013,7:00 pm,New York Knicks,101,Charlotte Bobcats,91,Box Score,,16465,
Fri Nov 8 2013,8:00 pm,Utah Jazz,73,Chicago Bulls,97,Box Score,,21946,
Fri Nov 8 2013,7:30 pm,Oklahoma City Thunder,119,Detroit Pistons,110,Box Score,,15624,
Fri Nov 8 2013,7:00 pm,Toronto Raptors,84,Indiana Pacers,91,Box Score,,13316,
Fri Nov 8 2013,8:00 pm,Dallas Mavericks,108,Minnesota Timberwolves,116,Box Score,,13677,
Fri Nov 8 2013,8:00 pm,Los Angeles Lakers,85,New Orleans Pelicans,96,Box Score,,18209,
Fri Nov 8 2013,7:00 pm,Boston Celtics,91,Orlando Magic,89,Box Score,,17555,
Fri Nov 8 2013,7:00 pm,Cleveland Cavaliers,79,Philadelphia 76ers,94,Box Score,,15219,
Fri Nov 8 2013,9:00 pm,Denver Nuggets,103,Phoenix Suns,114,Box Score,,15145,
Fri Nov 8 2013,10:00 pm,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,17627,
Fri Nov 8 2013,8:30 pm,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,18581,
Fri Nov 8 2013,7:00 pm,Brooklyn Nets,108,Washington Wizards,112,Box Score,OT,17215,
Sat Nov 9 2013,7:30 pm,Orlando Magic,94,Atlanta Hawks,104,Box Score,,15189,
Sat Nov 9 2013,7:30 pm,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,17732,
Sat Nov 9 2013,7:30 pm,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,20562,
Sat Nov 9 2013,8:00 pm,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,18108,
Sat Nov 9 2013,8:00 pm,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,16989,
Sat Nov 9 2013,7:30 pm,Boston Celtics,111,Miami Heat,110,Box Score,,19710,
Sat Nov 9 2013,8:30 pm,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,16448,
Sat Nov 9 2013,10:00 pm,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,15482,
Sat Nov 9 2013,7:00 pm,Utah Jazz,91,Toronto Raptors,115,Box Score,,17211,
Sun Nov 10 2013,9:30 pm,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,18997,
Sun Nov 10 2013,12:00 am,San Antonio Spurs,120,New York Knicks,89,Box Score,,19812,
Sun Nov 10 2013,7:00 pm,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,18203,
Sun Nov 10 2013,8:00 pm,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,13154,
Mon Nov 11 2013,7:30 pm,Orlando Magic,105,Boston Celtics,120,Box Score,,18624,
Mon Nov 11 2013,7:00 pm,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,13996,
Mon Nov 11 2013,8:00 pm,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,21778,
Mon Nov 11 2013,8:00 pm,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,18134,
Mon Nov 11 2013,7:00 pm,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,13130,
Mon Nov 11 2013,10:30 pm,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,19060,
Mon Nov 11 2013,7:00 pm,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,12424,
Mon Nov 11 2013,10:00 pm,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,18834,
Mon Nov 11 2013,9:00 pm,Denver Nuggets,100,Utah Jazz,81,Box Score,,16866,
Tue Nov 12 2013,8:30 pm,Washington Wizards,95,Dallas Mavericks,105,Box Score,,19627,
Tue Nov 12 2013,10:30 pm,Detroit Pistons,95,Golden State Warriors,113,Box Score,,19596,
Tue Nov 12 2013,10:30 pm,New Orleans Pelicans,95,Los Angeles Lakers,116,Box Score,,18426,
Tue Nov 12 2013,7:30 pm,Milwaukee Bucks,95,Miami Heat,118,Box Score,,19600,
Wed Nov 13 2013,8:00 pm,New York Knicks,95,Atlanta Hawks,91,Box Score,,15057,
Wed Nov 13 2013,7:30 pm,Charlotte Bobcats,89,Boston Celtics,83,Box Score,,17032,
Wed Nov 13 2013,9:00 pm,Los Angeles Lakers,99,Denver Nuggets,111,Box Score,,17824,
Wed Nov 13 2013,10:30 pm,Oklahoma City Thunder,103,Los Angeles Clippers,111,Box Score,,19273,
Wed Nov 13 2013,8:00 pm,Toronto Raptors,103,Memphis Grizzlies,87,Box Score,,15971,
Wed Nov 13 2013,8:00 pm,Cleveland Cavaliers,95,Minnesota Timberwolves,124,Box Score,,14978,
Wed Nov 13 2013,7:00 pm,Milwaukee Bucks,91,Orlando Magic,94,Box Score,,13588,
Wed Nov 13 2013,7:00 pm,Houston Rockets,117,Philadelphia 76ers,123,Box Score,OT,11671,
Wed Nov 13 2013,10:00 pm,Phoenix Suns,89,Portland Trail Blazers,90,Box Score,,19537,
Wed Nov 13 2013,10:00 pm,Brooklyn Nets,86,Sacramento Kings,107,Box Score,,15122,
Wed Nov 13 2013,8:30 pm,Washington Wizards,79,San Antonio Spurs,92,Box Score,,18581,
Wed Nov 13 2013,9:00 pm,New Orleans Pelicans,105,Utah Jazz,111,Box Score,,16717,
Thu Nov 14 2013,10:30 pm,Oklahoma City Thunder,115,Golden State Warriors,116,Box Score,,19596,
Thu Nov 14 2013,8:00 pm,Houston Rockets,109,New York Knicks,106,Box Score,,19812,
Fri Nov 15 2013,7:30 pm,Philadelphia 76ers,103,Atlanta Hawks,113,Box Score,,12070,
Fri Nov 15 2013,7:30 pm,Portland Trail Blazers,109,Boston Celtics,96,Box Score,,18624,
Fri Nov 15 2013,7:30 pm,Charlotte Bobcats,86,Cleveland Cavaliers,80,Box Score,,18679,
Fri Nov 15 2013,8:00 pm,Minnesota Timberwolves,113,Denver Nuggets,117,Box Score,,17142,
Fri Nov 15 2013,7:00 pm,Milwaukee Bucks,77,Indiana Pacers,104,Box Score,,16202,
